annee,nom,population,recette_dotation_fonctionnement,charge_contingents,endettement_annuite,endettement_encours,depense_equipement,recette_fctva,charge_charges_financieres,recette_taxe_habitation,recette_total_investissement,recette_taxe_fonciere_non_bati,souscription_emprunts,charge_total_fonctionnement,recette_total_fonctionnement,recette_autres_impots_taxes,charge_subventions,recette_taxe_fonciere_bati,charge_achats,recette_subventions,recette_taxe_surfaces_commerciales,charge_personnel,nb_res_secondaires,ville_id
2015,MARSEILLE,861676,240313000.0,14938000.0,212367000.0,1824132000.0,177303000.0,23440000.0,72017000.0,279137000.0,412743000.0,633000.0,142869000.0,1092277000.0,1193813000.0,72418000.0,100769000.0,215794000.0,162920000.0,29113000.0,0.0,579075000.0,6719.0,1.0
2015,MARTIGUES,48266,2074000.0,6433000.0,9336000.0,55642000.0,15879000.0,5703000.0,1560000.0,8875000.0,39891000.0,90000.0,5000000.0,133245000.0,149983000.0,-951000.0,13032000.0,11723000.0,26090000.0,2090000.0,0.0,75381000.0,1382.0,2.0
2015,MONCEAUX-EN-BESSIN,545,56000.0,15000.0,12000.0,33000.0,90000.0,19000.0,2000.0,58000.0,27000.0,14000.0,0.0,149000.0,212000.0,18000.0,5000.0,71000.0,54000.0,0.0,0.0,49000.0,6.0,3.0
2015,HENIN-BEAUMONT,26940,8592000.0,0.0,5609000.0,36873000.0,8043000.0,544000.0,2896000.0,4641000.0,13283000.0,87000.0,3000000.0,38040000.0,41418000.0,2312000.0,4650000.0,12589000.0,6151000.0,3021000.0,0.0,21780000.0,141.0,4.0
2015,JOIGNY,10208,2658000.0,616000.0,1372000.0,10403000.0,1185000.0,493000.0,345000.0,1578000.0,2853000.0,51000.0,630000.0,11078000.0,11333000.0,638000.0,932000.0,2348000.0,2632000.0,351000.0,0.0,4903000.0,173.0,5.0
2015,MEGEVE,3500,3308000.0,1425000.0,17957000.0,65326000.0,18178000.0,1481000.0,18651000.0,10931000.0,84432000.0,139000.0,44158000.0,62380000.0,63833000.0,3354000.0,3997000.0,5879000.0,9226000.0,248000.0,21000.0,11204000.0,7008.0,6.0
2015,LEVALLOIS-PERRET,65236,38588000.0,4933000.0,72260000.0,487834000.0,137425000.0,3339000.0,15831000.0,31915000.0,263037000.0,81000.0,0.0,175018000.0,195423000.0,8566000.0,17915000.0,35893000.0,42168000.0,2280000.0,962000.0,72126000.0,1138.0,7.0
2015,RUEIL-MALMAISON,81110,9519000.0,1803000.0,15482000.0,177388000.0,16311000.0,2374000.0,7978000.0,27656000.0,36903000.0,73000.0,9650000.0,155606000.0,158192000.0,3063000.0,11543000.0,25382000.0,37197000.0,1640000.0,0.0,82519000.0,650.0,8.0
2015,BORDEAUX,245223,48829000.0,3384000.0,56849000.0,377106000.0,108295000.0,17343000.0,11786000.0,96570000.0,215386000.0,451000.0,0.0,475990000.0,535100000.0,41840000.0,69852000.0,113834000.0,75073000.0,42234000.0,0.0,185437000.0,3314.0,9.0
2015,ENSUES-LA-REDONNE,5400,709000.0,52000.0,254000.0,2864000.0,1813000.0,619000.0,116000.0,1683000.0,3098000.0,12000.0,0.0,6565000.0,7103000.0,521000.0,128000.0,1918000.0,1865000.0,1435000.0,0.0,3541000.0,458.0,10.0
2015,LYON,505094,92974000.0,20903000.0,58256000.0,415942000.0,104365000.0,14519000.0,11874000.0,178815000.0,207416000.0,312000.0,40000000.0,597640000.0,661437000.0,57688000.0,81191000.0,159791000.0,102705000.0,8263000.0,0.0,318897000.0,7971.0,11.0
2015,STRASBOURG,278937,52092000.0,14607000.0,25123000.0,245625000.0,97039000.0,14452000.0,4284000.0,73572000.0,169457000.0,523000.0,37400000.0,359894000.0,390525000.0,22168000.0,44441000.0,80072000.0,69969000.0,12585000.0,0.0,196389000.0,2643.0,12.0
