annee,personnel_6,impots_6,intervention_hors_suventions_6,frais_financiers_6,produits_fonctionnement_exceptionnels_7,tfnb_produit_commune,fiscalite_reversee_7,fonds_compensation_charges_territoriales_6,depenses_equipement_2,frais_elus_6,autres_recettes_equipement_2,autres_6,dotations_etat_7,subventions_equipement_versees_2,ventes_biens_services_7,subventions_equipement_recues_1,autres_impots_taxes_7,depenses_operations_tiers_4,achats_charges_externes_6,tfb_produit_syndicat,th_produit_epci,impots_locaux_7,population,tfnb_produit_syndicat,fctva_1,exceptionnel_6,suventions_participations_7,tfnb_produit_epci,autres_produits_fonctionnement_7,recettes_operations_tiers_4,tfb_produit_epci,endettement_16,autres_dotations_subventions_equipement_1,tfb_produit_commune,th_produit_syndicat,autres_depenses_equipement_1,autres_depenses_equipement_2,subventions_versees_6,th_produit_commune,produits_cessions_7,ville_id
2014,-5914998477,-62376980,-414706667,-395287343,163696500,104669432,1961091966,0,-3467710617,-231138460,59181437,-39787416,2730955303,-106378518,879608151,758007434,862864264,-15767412,-3046079909,25998686,1279718225,5416391818,11636090,639518,539948705,-78455457,583414471,9661780,361728298,16010443,191429927,10247255798,151954641,2737530297,24121643,-25910081,-38351311,-839338814,2281672717,268329174,36636
2015,-5983700033,-64761329,-417777838,-392403963,116995789,109312759,1937777881,0,-2881564197,-234751357,73878350,-42651120,2507044324,-104242163,929417774,673233122,897148917,-34182538,-2995307211,25899130,1359318117,5631751711,11730882,676356,521495018,-79166121,654971690,10175513,397554288,31378173,239168956,10257019366,230612311,2841221340,24371549,-18466350,-51585730,-802811909,2421711564,279253557,36636
2016,-5956824263,-64702761,-337393144,-357825541,124505832,107624659,1979266077,-75074956,-2933378781,-234995277,87410442,-37926166,2218779677,-101313203,945687150,648044574,932965833,-39368348,-2922640223,25653956,1359019879,5639649857,11606687,606096,436725192,-90678830,681966459,10238417,411138266,34646665,263641879,10061606194,179721850,2910255228,23508651,-38120747,-75419901,-782557683,2410002593,309618393,36636
2017,-6172770779,-68002234,-331421699,-323457951,119743358,115186697,2149626013,-69641569,-3312917813,-244544337,71936993,-44446692,2191224699,-108862602,1003511915,660987887,1001130111,-38797346,-2984297233,25224567,1431614121,5683277985,11677894,582181,411437054,-89157555,665902367,11281811,411940749,38245788,288809819,10109081133,184410965,3011925450,23114867,-19481389,-62699350,-778212109,2444068977,379113872,36636
2012,-4381011859,-37548700,-208686664,-286481402,63622638,13640735,1203830875,0,-1966022388,-46495567,122951086,-45271252,2017795402,-138799704,587683137,404021151,801625152,-34990656,-1698927288,7686726,505821071,3442648295,5633127,43995,257638523,-81268737,351159426,770183,152649532,33474594,22019006,8200904132,90351662,1670725377,6278087,-6913317,-124479571,-819755393,1449841837,245530804,36637
2013,-4482316884,-40547201,-206539461,-298133056,63280219,14055863,1291521486,0,-2060906232,-51756759,193032020,-38957858,1977651647,-143161023,584091907,397580118,787555778,-29682131,-1724214596,8213765,521210891,3509698122,5633127,46817,253478537,-89630290,362284420,775084,156314394,25531736,25530379,8267110224,78231214,1725964348,6691880,-34607327,-59344261,-841341009,1497249774,208447737,36637
2014,-4598761963,-38892535,-206151179,-286241891,70853135,13613344,1296228069,0,-1649229127,-50062221,141293391,-37504318,1877519535,-113151468,573944605,391757256,781497171,-22756957,-1680853207,8514017,521214156,3492358239,5602254,45489,259165195,-77894954,392271287,763686,149462660,21715902,27606552,8165527289,65482006,1738915505,6784838,-26898843,-98397586,-842435673,1499253381,236626781,36637
2015,-4645129239,-40529457,-198094940,-260002193,94564049,14732853,1301934980,0,-1448110587,-50135800,180132194,-45054662,1735897903,-123706548,592648715,355862675,838409681,-11839881,-1655919334,6069009,539886316,3658609088,5609877,28555,233110347,-72178767,418482160,865896,138445430,15281220,42871793,8139782711,122354978,1806706146,5055367,-23656392,-180503250,-812107674,1588658380,166061735,36637
2016,-4533923564,-38711497,-187786382,-228573927,86676857,13855108,1831098236,-361701845,-1428938328,-50545385,74300864,-43189362,1447617811,-93081884,644323432,298328690,842530009,-27323658,-1556134418,4495207,426764250,3449257785,5534826,19162,219218640,-79338170,404999966,725063,139330773,15200780,50523478,7866542953,55248533,1840336844,3837663,-15121174,-127662811,-772206031,1654556072,328301010,36637
2017,-4720955666,-40835471,-169918173,-241723758,240965790,14062146,1878964943,-362456068,-1625981208,-52369281,134877617,-41952368,1430032036,-132604307,650352572,307964756,828880294,-18827403,-1566576624,4809840,430706642,3585764465,5609877,22252,186236879,-89886072,415360085,743871,143776435,18155790,57129032,8038144747,72840101,1902257007,4268635,-6489659,-255414825,-762415842,1723188356,375714806,36637
2012,-1107454595,-30768708,-294976030,-113129270,45084905,152122910,127403373,0,-1462944117,-171780284,29587566,-11049788,1174307131,-41376165,243574178,407081002,216326265,-10343727,-900424027,3713858,343110254,1483804917,4996090,1059852,185232807,-21649200,126172151,27903873,258751122,9648805,84581427,2909005005,52978803,538120188,3766984,-7482754,-18368342,-146118651,630065462,86927198,36638
2013,-1149154910,-31828159,-295064516,-115464931,46190594,155167616,177207048,0,-1591442019,-176157065,32849105,-11778980,1140320417,-44395565,255248657,407122598,205250203,-9065898,-951934508,3886235,368453471,1516323132,4996090,1090292,182395911,-22980850,120045624,28824248,255553805,8706182,90093436,2987814209,47313996,562322477,4087942,-12209543,-14781634,-147235678,649020910,82465592,36638
2014,-1184376125,-31879904,-299832228,-115963868,44221816,156855862,216908858,0,-1391212130,-184743138,23954482,-11129738,1108854248,-40088404,261796549,384811200,188215652,-10651001,-930679421,3766325,389212515,1502877661,5009183,1077482,192259748,-22676552,128026987,29551875,251715977,9278257,96113712,2947709629,51730248,578141278,4020647,-8639234,-17236701,-143483276,644006305,67613435,36638
2015,-1215005685,-33704307,-305081211,-110257724,50114349,159160844,227028659,0,-1252042136,-186987497,23605708,-11713193,1048097175,-41679815,274421540,378390665,185069037,-10652751,-938225641,3838492,411828098,1554799752,5011431,1050108,196188432,-20764650,149796114,30576940,257295433,9706020,106722868,2928001751,68610147,597988975,4117281,-6209758,-15139288,-138699001,677280871,73356307,36638
2016,-1220915322,-33643072,-220247840,-100264846,46302829,157996199,238000015,-76633179,-1245884634,-190552611,22786023,-10854092,970179024,-48910179,278933211,349989082,191895688,-8336716,-924701930,3723928,406869561,1546048648,4910191,1027875,176999187,-22410303,158955452,30551532,259275201,8927976,112593979,2884030129,53838074,605551120,4029398,-7068368,-17613873,-130978270,664106593,75534708,36638
2017,-1247336558,-34101952,-220513321,-92284227,49140530,159561030,336841457,-62874421,-1355000225,-191345287,24087922,-11624179,948968094,-43073770,284007479,365070361,195881999,-11489691,-943230158,3817572,449646601,1479699210,4851091,1050379,170852584,-24495176,153959107,31375364,261504285,9943161,117402321,2948045415,56366061,619247478,4004014,-7863458,-16921727,-125358830,638284791,81373289,36638
2012,-908870326,-37578009,-389480597,-91968582,51982955,200533765,-34511744,0,-1634946131,-238569176,34316949,-11372132,1347956134,-49072756,257672997,535806910,276075739,-15856970,-909408310,2740616,302025765,1289246571,4524268,1381811,184035755,-23919650,179751689,54583111,328733114,14923413,94922185,2410287247,32498954,388525702,2556412,-9908724,-17931029,-126076084,519864367,71548497,36639
2013,-935480183,-38425295,-395508221,-93969780,52511540,204003750,-4243661,0,-1687998991,-238666369,37705409,-9751148,1297447675,-49112146,272003458,520844815,266205911,-12159562,-959183666,2435067,324407934,1318795969,4524268,1325384,191853192,-22365524,171215303,56111181,334378639,12583260,101410973,2464552228,26193331,404642407,2453979,-10750194,-14764729,-130034490,534230404,53344283,36639
2014,-942644813,-39356721,-394307822,-90265863,52802378,204771089,24173936,0,-1464750572,-245876995,27527509,-9301516,1240792700,-45522838,276167615,471622329,284364455,-11654459,-938769716,2325169,331195563,1303531602,4498796,1235636,200996599,-21262763,141294742,56506445,328031565,9167098,103985791,2368029662,31207444,400277405,2331816,-8437888,-10299504,-127223296,517181423,38806095,36639
2015,-961458073,-40191253,-408567564,-85081637,50740696,207674227,38326175,0,-1403412422,-247867135,21236374,-11098704,1178543587,-45227303,281462495,483839378,279750500,-12059524,-938925625,2298840,352175159,1341960964,4481848,1187967,206078562,-21440249,152731208,58238679,329941172,11856913,112456180,2378790189,49324860,417830499,2380886,-9187334,-11390083,-127497875,552452327,37382203,36639
2016,-1029776157,-42886212,-313292390,-83517829,56270965,203931984,66736692,-81463907,-1443092138,-259812439,22418266,-10346619,1160155660,-49001042,298579160,470735234,296880661,-12100067,-965645073,2232272,344521963,1405646916,4351045,1150799,192268277,-23307565,170844197,57630621,336469490,12040548,116475018,2510071246,40272258,417794513,2299886,-7834091,-9561787,-135627540,535503928,44986644,36639
2017,-987929295,-42373285,-304802055,-71325153,57866687,203485347,155857611,-62430525,-1452208616,-251759298,20975291,-9831312,1066965945,-46396594,288748509,449945027,302196230,-12921987,-928933361,2209716,377782308,1238283542,4276380,1136943,186529450,-24752244,158304609,56692660,326625106,12566740,117223088,2434281201,40260232,424554084,2129183,-10371791,-7423599,-116517969,504132500,44310673,36639
2012,-4310547750,-37588740,-1018143590,-224431679,95221849,6089373,511504058,0,-2080668154,-34780142,305401029,-22432973,2441532744,-555908624,573952292,176246628,1362257422,-21103830,-1592317131,462623,501589401,4184812470,5936793,1031,282135850,-118165781,225755769,484050,602733846,22464255,56130914,7177559505,11743666,1641777064,548671,-7412424,-147810625,-1274053442,1764657020,271861551,36640
2013,-4379802428,-37458899,-1109191866,-230800604,66292683,5847661,464415014,0,-2416907055,-39409160,410028183,-25957016,2407616207,-479378885,582903801,253971332,1315814781,-23912768,-1641497694,468837,518169448,4366181952,5936793,1021,257710591,-149546794,227888258,479988,626300675,22094615,58110631,7891594855,22012913,1690161452,555647,-6382045,-182669751,-1345845209,1815365680,343091883,36640
2014,-4571902632,-37237430,-1266465051,-254471683,94432285,5822142,414741651,0,-2103801203,-38053913,303584822,-22268408,2311252964,-605766871,613192736,381952137,1359994405,-30122743,-1610018802,474698,533265948,4361408194,5969438,928,299409481,-123717647,260850658,483417,842459685,30065266,77086849,8594367123,13408951,1719168370,558310,-7065598,-126004385,-1350134001,1832289408,269131377,36640
2015,-4614498063,-36965335,-1187003546,-245927457,76355177,5954090,340122341,0,-1674839423,-39537945,152881247,-30890762,2078576359,-378213194,678660508,213982146,1419862025,-84212206,-1579762432,489978,566357861,4606832936,5988931,973,261569586,-179253034,339519699,486234,652231790,94598681,184431365,9134932327,117109651,1810684188,583370,-47757475,-232269343,-1363624760,1938577875,482109102,36640
2016,-4588746470,-44929379,-974591030,-243269495,67931345,5789957,1209972559,-2600163,-1781004032,-39702018,209741542,-32174641,1324568699,-452058587,607198969,156447635,1477022230,-40902683,-1522388375,503022,577765289,4086766060,5988931,972,222701756,-124916281,335131926,495223,507796767,41385808,211182788,9879110854,-26475371,1841022904,567524,-2393244,-74726277,-1352182990,1949669579,244525462,36640
2017,-4675645359,-51309798,-889797391,-235432873,98954490,5685319,1156279923,-2232577,-1606258498,-40347064,157789959,-35057918,1158191195,-383104678,611684396,156203778,1550802551,-26422545,-1522766935,553343,584446552,4194012336,5988931,980,229161391,-117843124,379282383,498208,561765115,18909084,213390649,10586364670,-36284824,1868241942,618984,-6663487,-133788407,-1345667928,1967005119,233352191,36640
