nom,cog,catpop,nom_propre,nom_propre_et_dep,taux_hlm_legal,taux_hlm_2015,nb_menages_2013,uc_par_menage,revenu_median_uc,decile_revenu,nb_res_secondaires
SAN-GAVINO-DI-TENDA,2B301,Moins de 500 habitants,San-Gavino-di-Tenda,San-Gavino-di-Tenda (2B),,,27,1.85,0,10,21
SAN-GIOVANNI-DI-MORIANI,2B302,Moins de 500 habitants,San-Giovanni-di-Moriani,San-Giovanni-di-Moriani (2B),,,41,1.82,0,10,60
SAN-GIULIANO,2B303,Entre 500 et 999 habitants,San-Giuliano,San-Giuliano (2B),,,307,1.81,16892,1,67
SAN-LORENZO,2B304,Moins de 500 habitants,San-Lorenzo,San-Lorenzo (2B),,,58,1.92,14466,1,75
SANTA-LUCIA-DI-MERCURIO,2B306,Moins de 500 habitants,Santa-Lucia-di-Mercurio,Santa-Lucia-di-Mercurio (2B),,,44,1.81,0,10,36
SANTA-LUCIA-DI-MORIANI,2B307,Entre 1 000 et  3 499 habitants,Santa-Lucia-di-Moriani,Santa-Lucia-di-Moriani (2B),,,545,1.86,16394,1,401
SANTA-MARIA-DI-LOTA,2B309,Entre 1 000 et  3 499 habitants,Santa-Maria-di-Lota,Santa-Maria-di-Lota (2B),,,811,1.89,21941,8,105
SAN-NICOLAO,2B313,Entre 1 000 et  3 499 habitants,San-Nicolao,San-Nicolao (2B),,,830,1.76,16261,1,603
SANTO-PIETRO-DI-TENDA,2B314,Moins de 500 habitants,Santo-Pietro-di-Tenda,Santo-Pietro-di-Tenda (2B),,,165,1.72,16860,1,122
SANTO-PIETRO-DI-VENACO,2B315,Moins de 500 habitants,Santo-Pietro-di-Venaco,Santo-Pietro-di-Venaco (2B),,,130,1.77,17822,2,60
SANTA-REPARATA-DI-BALAGNA,2B316,Entre 1 000 et  3 499 habitants,Santa-Reparata-di-Balagna,Santa-Reparata-di-Balagna (2B),,,468,1.80,17374,2,173
TAGLIO-ISOLACCIO,2B318,Entre 500 et 999 habitants,Taglio-Isolaccio,Taglio-Isolaccio (2B),,,234,1.94,18632,4,114
TALASANI,2B319,Entre 500 et 999 habitants,Talasani,Talasani (2B),,,295,2.01,17246,2,102
TALLONE,2B320,Moins de 500 habitants,Tallone,Tallone (2B),,,149,1.72,15001,1,47
TARRANO,2B321,Moins de 500 habitants,Tarrano,Tarrano (2B),,,9,1.53,0,10,21
TOX,2B328,Moins de 500 habitants,Tox,Tox (2B),,,54,1.52,19456,5,43
TRALONCA,2B329,Moins de 500 habitants,Tralonca,Tralonca (2B),,,49,1.79,19005,4,37
URTACA,2B332,Moins de 500 habitants,Urtaca,Urtaca (2B),,,88,1.94,20228,6,72
VALLE-D'ALESANI,2B334,Moins de 500 habitants,Valle-d'Alesani,Valle-d'Alesani (2B),,,64,1.63,0,10,49
VALLE-DI-CAMPOLORO,2B335,Moins de 500 habitants,Valle-di-Campoloro,Valle-di-Campoloro (2B),,,151,1.86,19596,5,70
VALLE-D'OREZZA,2B338,Moins de 500 habitants,Valle-d'Orezza,Valle-d'Orezza (2B),,,19,1.95,0,10,25
VALLICA,2B339,Moins de 500 habitants,Vallica,Vallica (2B),,,15,1.34,0,10,33
VELONE-ORNETO,2B340,Moins de 500 habitants,Velone-Orneto,Velone-Orneto (2B),,,49,1.80,15002,1,28
VENACO,2B341,Entre 500 et 999 habitants,Venaco,Venaco (2B),,,389,1.66,19901,6,200
VENZOLASCA,2B343,Entre 1 000 et  3 499 habitants,Venzolasca,Venzolasca (2B),,,741,1.87,16360,1,355
VERDESE,2B344,Moins de 500 habitants,Verdèse,Verdèse (2B),,,24,1.38,0,10,37
VESCOVATO,2B346,Entre 1 000 et  3 499 habitants,Vescovato,Vescovato (2B),,,1070,1.92,15276,1,90
VIGNALE,2B350,Moins de 500 habitants,Vignale,Vignale (2B),,,96,1.62,18614,4,49
VILLE-DI-PARASO,2B352,Moins de 500 habitants,Ville-di-Paraso,Ville-di-Paraso (2B),,,88,1.74,18034,3,95
MENETREOL-SOUS-SANCERRE,18146,Moins de 500 habitants,Ménétréol-sous-Sancerre,Ménétréol-sous-Sancerre (18),,,185,1.54,18593,4,89
MENETREOL-SUR-SAULDRE,18147,Moins de 500 habitants,Ménétréol-sur-Sauldre,Ménétréol-sur-Sauldre (18),,,100,1.92,18769,4,54
MEREAU,18148,Entre 1 000 et  3 499 habitants,Méreau,Méreau (18),,,1019,1.93,21150,7,34
MERY-ES-BOIS,18149,Entre 500 et 999 habitants,Méry-ès-Bois,Méry-ès-Bois (18),,,274,1.77,19252,5,72
MERY-SUR-CHER,18150,Entre 500 et 999 habitants,Méry-sur-Cher,Méry-sur-Cher (18),,,297,1.88,19673,5,37
MONTIGNY,18151,Moins de 500 habitants,Montigny,Montigny (18),,,172,1.82,19978,6,69
MONTLOUIS,18152,Moins de 500 habitants,Montlouis,Montlouis (18),,,49,1.67,17457,2,10
MORLAC,18153,Moins de 500 habitants,Morlac,Morlac (18),,,144,1.80,18996,4,51
MORNAY-BERRY,18154,Moins de 500 habitants,Mornay-Berry,Mornay-Berry (18),,,97,1.76,19718,5,60
MORNAY-SUR-ALLIER,18155,Moins de 500 habitants,Mornay-sur-Allier,Mornay-sur-Allier (18),,,206,1.65,18562,3,60
MORTHOMIERS,18157,Entre 500 et 999 habitants,Morthomiers,Morthomiers (18),,,301,2.00,22008,8,13
MOULINS-SUR-YEVRE,18158,Entre 500 et 999 habitants,Moulins-sur-Yèvre,Moulins-sur-Yèvre (18),,,297,2.05,21219,7,10
NANCAY,18159,Entre 500 et 999 habitants,Nançay,Nançay (18),,,412,1.71,19660,5,114
NERONDES,18160,Entre 1 000 et  3 499 habitants,Nérondes,Nérondes (18),,,672,1.81,18140,3,82
NEUILLY-EN-DUN,18161,Moins de 500 habitants,Neuilly-en-Dun,Neuilly-en-Dun (18),,,119,1.64,16372,1,49
NEUILLY-EN-SANCERRE,18162,Moins de 500 habitants,Neuilly-en-Sancerre,Neuilly-en-Sancerre (18),,,118,1.66,18399,3,91
NEUVY-DEUX-CLOCHERS,18163,Moins de 500 habitants,Neuvy-Deux-Clochers,Neuvy-Deux-Clochers (18),,,144,1.67,18649,4,65
NEUVY-LE-BARROIS,18164,Moins de 500 habitants,Neuvy-le-Barrois,Neuvy-le-Barrois (18),,,60,1.91,19440,5,27
NEUVY-SUR-BARANGEON,18165,Entre 1 000 et  3 499 habitants,Neuvy-sur-Barangeon,Neuvy-sur-Barangeon (18),,,556,1.69,19478,5,155
NOHANT-EN-GOUT,18166,Entre 500 et 999 habitants,Nohant-en-Goût,Nohant-en-Goût (18),,,175,2.18,20977,7,7
NOHANT-EN-GRACAY,18167,Moins de 500 habitants,Nohant-en-Graçay,Nohant-en-Graçay (18),,,129,1.77,19411,5,38
NOYER (LE ),18168,Moins de 500 habitants,Le Noyer,Le Noyer (18),,,129,1.54,20352,6,93
NOZIERES,18169,Moins de 500 habitants,Nozières,Nozières (18),,,88,1.99,20031,6,7
OIZON,18170,Entre 500 et 999 habitants,Oizon,Oizon (18),,,328,1.77,19593,5,92
ORCENAIS,18171,Moins de 500 habitants,Orcenais,Orcenais (18),,,97,1.97,17121,2,10
ORVAL,18172,Entre 1 000 et  3 499 habitants,Orval,Orval (18),,,931,1.67,18770,4,18
OSMOY,18174,Moins de 500 habitants,Osmoy,Osmoy (18),,,72,1.95,26314,10,2
OUROUER-LES-BOURDELINS,18175,Entre 500 et 999 habitants,Ourouer-les-Bourdelins,Ourouer-les-Bourdelins (18),,,303,1.75,17283,2,84
PARASSY,18176,Moins de 500 habitants,Parassy,Parassy (18),,,189,1.82,20200,6,32
PERCHE (LA ),18178,Moins de 500 habitants,La Perche,La Perche (18),,,111,1.69,18092,3,55
PIGNY,18179,Entre 500 et 999 habitants,Pigny,Pigny (18),,,331,1.95,21948,8,0
PLOU,18181,Entre 500 et 999 habitants,Plou,Plou (18),,,218,1.86,21349,7,47
POISIEUX,18182,Moins de 500 habitants,Poisieux,Poisieux (18),,,98,1.76,21575,8,36
PONDY (LE ),18183,Moins de 500 habitants,Le Pondy,Le Pondy (18),,,65,1.88,18485,3,43
PRECY,18184,Moins de 500 habitants,Précy,Précy (18),,,127,1.61,19048,4,58
PREUILLY,18186,Moins de 500 habitants,Preuilly,Preuilly (18),,,201,1.91,20600,7,44
PREVERANGES,18187,Entre 500 et 999 habitants,Préveranges,Préveranges (18),,,296,1.57,16677,1,142
PRIMELLES,18188,Moins de 500 habitants,Primelles,Primelles (18),,,116,1.79,19628,5,18
QUINCY,18190,Entre 500 et 999 habitants,Quincy,Quincy (18),,,366,1.88,19946,6,44
RAYMOND,18191,Moins de 500 habitants,Raymond,Raymond (18),,,82,1.96,17410,2,15
REZAY,18193,Moins de 500 habitants,Rezay,Rezay (18),,,116,1.63,17732,2,60
RIANS,18194,Entre 1 000 et  3 499 habitants,Rians,Rians (18),,,428,1.86,19214,5,13
SAGONNE,18195,Moins de 500 habitants,Sagonne,Sagonne (18),,,84,1.71,20068,6,39
SAINT-AMAND-MONTROND,18197,Entre 10 000 et 19 999 habitants,Saint-Amand-Montrond,Saint-Amand-Montrond (18),,,5122,1.56,18231,3,249
SAINT-AMBROIX,18198,Moins de 500 habitants,Saint-Ambroix,Saint-Ambroix (18),,,176,1.73,20879,7,37
SAINT-BAUDEL,18199,Moins de 500 habitants,Saint-Baudel,Saint-Baudel (18),,,132,1.55,19387,5,47
SAINT-BOUIZE,18200,Moins de 500 habitants,Saint-Bouize,Saint-Bouize (18),,,157,1.77,18818,4,65
SAINT-CAPRAIS,18201,Entre 500 et 999 habitants,Saint-Caprais,Saint-Caprais (18),,,282,2.17,21535,8,10
SAINT-CHRISTOPHE-LE-CHAUDRY,18203,Moins de 500 habitants,Saint-Christophe-le-Chaudry,Saint-Christophe-le-Chaudry (18),,,47,1.69,0,10,16
SAINT-DENIS-DE-PALIN,18204,Moins de 500 habitants,Saint-Denis-de-Palin,Saint-Denis-de-Palin (18),,,135,1.94,21492,8,14
SAINT-DOULCHARD,18205,Entre 3 500 et 9 999 habitants,Saint-Doulchard,Saint-Doulchard (18),,,4126,1.77,22580,8,47
SAINT-FLORENT-SUR-CHER,18207,Entre 3 500 et 9 999 habitants,Saint-Florent-sur-Cher,Saint-Florent-sur-Cher (18),,,3096,1.70,19178,5,90
SAINTE-GEMME-EN-SANCERROIS,18208,Moins de 500 habitants,Sainte-Gemme-en-Sancerrois,Sainte-Gemme-en-Sancerrois (18),,,197,1.78,20174,6,47
SAINT-GEORGES-DE-POISIEUX,18209,Moins de 500 habitants,Saint-Georges-de-Poisieux,Saint-Georges-de-Poisieux (18),,,172,1.96,20969,7,2
SAINT-GEORGES-SUR-LA-PREE,18210,Entre 500 et 999 habitants,Saint-Georges-sur-la-Prée,Saint-Georges-sur-la-Prée (18),,,262,1.96,19237,5,54
SAINT-GERMAIN-DES-BOIS,18212,Entre 500 et 999 habitants,Saint-Germain-des-Bois,Saint-Germain-des-Bois (18),,,248,1.92,22182,8,39
SAINT-GERMAIN-DU-PUY,18213,Entre 3 500 et 9 999 habitants,Saint-Germain-du-Puy,Saint-Germain-du-Puy (18),,,2186,1.83,19365,5,20
SAINT-HILAIRE-DE-COURT,18214,Entre 500 et 999 habitants,Saint-Hilaire-de-Court,Saint-Hilaire-de-Court (18),,,298,1.82,20105,6,10
SAINT-HILAIRE-DE-GONDILLY,18215,Moins de 500 habitants,Saint-Hilaire-de-Gondilly,Saint-Hilaire-de-Gondilly (18),,,75,1.82,19016,4,26
SAINT-HILAIRE-EN-LIGNIERES,18216,Entre 500 et 999 habitants,Saint-Hilaire-en-Lignières,Saint-Hilaire-en-Lignières (18),,,253,1.64,16794,1,97
SAINT-JUST,18218,Entre 500 et 999 habitants,Saint-Just,Saint-Just (18),,,256,1.91,20512,6,10
SAINT-LAURENT,18219,Moins de 500 habitants,Saint-Laurent,Saint-Laurent (18),,,184,1.98,19692,5,21
SAINT-LEGER-LE-PETIT,18220,Moins de 500 habitants,Saint-Léger-le-Petit,Saint-Léger-le-Petit (18),,,176,1.70,19023,4,67
SAINTE-LUNAISE,18222,Moins de 500 habitants,Sainte-Lunaise,Sainte-Lunaise (18),,,8,2.03,0,10,4
SAINT-MARTIN-D'AUXIGNY,18223,Entre 1 000 et  3 499 habitants,Saint-Martin-d'Auxigny,Saint-Martin-d'Auxigny (18),,,984,1.86,20531,6,48
SAINT-MARTIN-DES-CHAMPS,18224,Moins de 500 habitants,Saint-Martin-des-Champs,Saint-Martin-des-Champs (18),,,149,1.68,20333,6,38
SAINT-MAUR,18225,Moins de 500 habitants,Saint-Maur,Saint-Maur (18),,,117,1.71,16454,1,53
SAINTE-MONTAINE,18227,Moins de 500 habitants,Sainte-Montaine,Sainte-Montaine (18),,,94,1.71,17349,2,116
SAINT-OUTRILLE,18228,Moins de 500 habitants,Saint-Outrille,Saint-Outrille (18),,,107,1.58,20671,7,23
SAINT-PALAIS,18229,Entre 500 et 999 habitants,Saint-Palais,Saint-Palais (18),,,281,1.76,19888,6,24
SAINT-PIERRE-LES-BOIS,18230,Moins de 500 habitants,Saint-Pierre-les-Bois,Saint-Pierre-les-Bois (18),,,148,1.68,17089,1,69
SAINT-PIERRE-LES-ETIEUX,18231,Entre 500 et 999 habitants,Saint-Pierre-les-Étieux,Saint-Pierre-les-Étieux (18),,,308,1.79,20227,6,67
SAINT-SATUR,18233,Entre 1 000 et  3 499 habitants,Saint-Satur,Saint-Satur (18),,,733,1.64,19910,6,153
SAINT-SATURNIN,18234,Moins de 500 habitants,Saint-Saturnin,Saint-Saturnin (18),,,224,1.58,16113,1,158
SAINTE-SOLANGE,18235,Entre 1 000 et  3 499 habitants,Sainte-Solange,Sainte-Solange (18),,,495,1.85,20507,6,22
SAINTE-THORETTE,18237,Moins de 500 habitants,Sainte-Thorette,Sainte-Thorette (18),,,196,1.88,21588,8,58
SAINT-VITTE,18238,Moins de 500 habitants,Saint-Vitte,Saint-Vitte (18),,,60,1.71,15510,1,15
SALIGNY-LE-VIF,18239,Moins de 500 habitants,Saligny-le-Vif,Saligny-le-Vif (18),,,81,1.87,17419,2,27
SANCERGUES,18240,Entre 500 et 999 habitants,Sancergues,Sancergues (18),,,339,1.68,17761,2,59
SANCERRE,18241,Entre 1 000 et  3 499 habitants,Sancerre,Sancerre (18),,,725,1.56,20884,7,125
SAINT-ETIENNE-DU-GUE-DE-L'ISLE,22288,Moins de 500 habitants,Saint-Étienne-du-Gué-de-l'Isle,Saint-Étienne-du-Gué-de-l'Isle (22),,,178,1.74,17393,2,12
SAINT-FIACRE,22289,Moins de 500 habitants,Saint-Fiacre,Saint-Fiacre (22),,,108,1.73,18089,3,15
SAINT-GELVEN,22290,Moins de 500 habitants,Saint-Gelven,Saint-Gelven (22),,,156,1.65,17501,2,69
SAINT-GILDAS,22291,Moins de 500 habitants,Saint-Gildas,Saint-Gildas (22),,,118,1.76,18792,4,11
SAINT-GILLES-DU-MENE,22292,Moins de 500 habitants,,,,,210,1.80,18023,3,26
SAINT-GILLES-LES-BOIS,22293,Moins de 500 habitants,Saint-Gilles-les-Bois,Saint-Gilles-les-Bois (22),,,181,1.81,17401,2,24
SAINT-GILLES-PLIGEAUX,22294,Moins de 500 habitants,Saint-Gilles-Pligeaux,Saint-Gilles-Pligeaux (22),,,147,1.65,16631,1,62
SAINT-GILLES-VIEUX-MARCHE,22295,Moins de 500 habitants,Saint-Gilles-Vieux-Marché,Saint-Gilles-Vieux-Marché (22),,,146,1.73,17083,1,81
SAINT-GLEN,22296,Entre 500 et 999 habitants,Saint-Glen,Saint-Glen (22),,,266,1.73,18814,4,31
SAINT-GOUENO,22297,Entre 500 et 999 habitants,,,,,304,1.76,19348,5,61
SAINT-GUEN,22298,Moins de 500 habitants,Saint-Guen,Saint-Guen (22),,,202,1.80,18371,3,26
SAINT-HELEN,22299,Entre 1 000 et  3 499 habitants,Saint-Hélen,Saint-Hélen (22),,,541,1.96,19595,5,86
SAINT-HERVE,22300,Moins de 500 habitants,Saint-Hervé,Saint-Hervé (22),,,173,1.87,19745,5,26
SAINT-JACUT-DE-LA-MER,22302,Entre 500 et 999 habitants,Saint-Jacut-de-la-Mer,Saint-Jacut-de-la-Mer (22),,,420,1.63,21673,8,698
SAINT-JACUT-DU-MENE,22303,Entre 500 et 999 habitants,,,,,332,1.79,19741,5,48
SAINT-JEAN-KERDANIEL,22304,Entre 500 et 999 habitants,Saint-Jean-Kerdaniel,Saint-Jean-Kerdaniel (22),,,214,1.99,19394,5,18
SAINT-JOUAN-DE-L'ISLE,22305,Moins de 500 habitants,Saint-Jouan-de-l'Isle,Saint-Jouan-de-l'Isle (22),,,186,2.01,19684,5,17
SAINT-JUDOCE,22306,Entre 500 et 999 habitants,Saint-Judoce,Saint-Judoce (22),,,222,2.01,20214,6,27
SAINT-JULIEN,22307,Entre 1 000 et  3 499 habitants,Saint-Julien,Saint-Julien (22),,,836,1.92,20864,7,12
SAINT-JUVAT,22308,Entre 500 et 999 habitants,Saint-Juvat,Saint-Juvat (22),,,282,1.79,18332,3,43
SAINT-LAUNEUC,22309,Moins de 500 habitants,Saint-Launeuc,Saint-Launeuc (22),,,85,1.74,20194,6,17
SAINT-LAURENT,22310,Entre 500 et 999 habitants,Saint-Laurent,Saint-Laurent (22),,,212,1.87,18904,4,16
SAINT-LORMEL,22311,Entre 500 et 999 habitants,Saint-Lormel,Saint-Lormel (22),,,395,1.74,20543,6,60
SAINT-MADEN,22312,Moins de 500 habitants,Saint-Maden,Saint-Maden (22),,,89,1.88,20332,6,17
SAINT-MARTIN-DES-PRES,22313,Moins de 500 habitants,Saint-Martin-des-Prés,Saint-Martin-des-Prés (22),,,143,1.83,18651,4,32
SAINT-MAUDAN,22314,Moins de 500 habitants,Saint-Maudan,Saint-Maudan (22),,,165,1.98,18958,4,4
SAINT-MAUDEZ,22315,Moins de 500 habitants,Saint-Maudez,Saint-Maudez (22),,,123,1.94,18376,3,31
SAINT-MAYEUX,22316,Entre 500 et 999 habitants,Saint-Mayeux,Saint-Mayeux (22),,,231,1.71,17124,2,49
SAINT-MELOIR-DES-BOIS,22317,Moins de 500 habitants,Saint-Méloir-des-Bois,Saint-Méloir-des-Bois (22),,,106,1.95,18755,4,13
SAINT-MICHEL-DE-PLELAN,22318,Moins de 500 habitants,Saint-Michel-de-Plélan,Saint-Michel-de-Plélan (22),,,132,1.97,17911,3,20
SAINT-MICHEL-EN-GREVE,22319,Moins de 500 habitants,Saint-Michel-en-Grève,Saint-Michel-en-Grève (22),,,248,1.54,21279,7,184
SAINT-NICODEME,22320,Moins de 500 habitants,Saint-Nicodème,Saint-Nicodème (22),,,80,1.71,15677,1,20
SAINT-NICOLAS-DU-PELEM,22321,Entre 1 000 et  3 499 habitants,Saint-Nicolas-du-Pélem,Saint-Nicolas-du-Pélem (22),,,799,1.67,18155,3,74
SAINT-PEVER,22322,Moins de 500 habitants,Saint-Péver,Saint-Péver (22),,,164,1.91,18748,4,18
SAINT-POTAN,22323,Entre 500 et 999 habitants,Saint-Pôtan,Saint-Pôtan (22),,,348,1.81,19124,5,66
SAINT-QUAY-PORTRIEUX,22325,Entre 1 000 et  3 499 habitants,Saint-Quay-Portrieux,Saint-Quay-Portrieux (22),,,1622,1.49,22065,8,1391
SAINT-RIEUL,22326,Entre 500 et 999 habitants,Saint-Rieul,Saint-Rieul (22),,,201,2.03,19728,5,17
SAINT-SAMSON-SUR-RANCE,22327,Entre 1 000 et  3 499 habitants,Saint-Samson-sur-Rance,Saint-Samson-sur-Rance (22),,,617,1.96,20465,6,40
SAINT-SERVAIS,22328,Moins de 500 habitants,Saint-Servais,Saint-Servais (22),,,210,1.64,17640,2,57
SAINT-THELO,22330,Moins de 500 habitants,Saint-Thélo,Saint-Thélo (22),,,178,1.94,17648,2,15
SAINT-TRIMOEL,22332,Moins de 500 habitants,Saint-Trimoël,Saint-Trimoël (22),,,190,1.97,20138,6,33
SAINT-VRAN,22333,Entre 500 et 999 habitants,Saint-Vran,Saint-Vran (22),,,317,1.79,17966,3,55
SAINT-YGEAUX,22334,Moins de 500 habitants,Saint-Igeaux,Saint-Igeaux (22),,,69,1.66,18246,3,21
SENVEN-LEHART,22335,Moins de 500 habitants,Senven-Léhart,Senven-Léhart (22),,,105,1.78,16981,1,18
SEVIGNAC,22337,Entre 1 000 et  3 499 habitants,Sévignac,Sévignac (22),,,482,1.87,17886,3,71
TADEN,22339,Entre 1 000 et  3 499 habitants,Taden,Taden (22),,,1013,1.79,20556,6,71
TONQUEDEC,22340,Entre 1 000 et  3 499 habitants,Tonquédec,Tonquédec (22),,,508,1.83,19427,5,67
TRAMAIN,22341,Entre 500 et 999 habitants,Tramain,Tramain (22),,,293,1.84,19211,5,29
TREBEURDEN,22343,Entre 3 500 et 9 999 habitants,Trébeurden,Trébeurden (22),20.0,0.09,1818,1.60,22793,8,1005
TREBRIVAN,22344,Entre 500 et 999 habitants,Trébrivan,Trébrivan (22),,,300,1.75,19124,5,62
TREBRY,22345,Entre 500 et 999 habitants,Trébry,Trébry (22),,,351,1.86,19212,5,67
TREDARZEC,22347,Entre 1 000 et  3 499 habitants,Trédarzec,Trédarzec (22),,,494,1.79,19538,5,101
TREDIAS,22348,Entre 500 et 999 habitants,Trédias,Trédias (22),,,215,1.77,18986,4,33
TREDUDER,22350,Moins de 500 habitants,Tréduder,Tréduder (22),,,92,1.79,20243,6,63
TREFFRIN,22351,Entre 500 et 999 habitants,Treffrin,Treffrin (22),,,240,1.85,20677,7,11
TREFUMEL,22352,Moins de 500 habitants,Tréfumel,Tréfumel (22),,,132,1.78,21255,7,10
TREGASTEL,22353,Entre 1 000 et  3 499 habitants,Trégastel,Trégastel (22),,,1256,1.58,21930,8,907
TREGOMEUR,22356,Entre 500 et 999 habitants,Trégomeur,Trégomeur (22),,,368,2.01,20215,6,27
TREGON,22357,Moins de 500 habitants,Trégon,Trégon (22),,,118,1.76,20353,6,41
TREGONNEAU,22358,Entre 500 et 999 habitants,Trégonneau,Trégonneau (22),,,213,1.94,18608,4,16
TREGROM,22359,Moins de 500 habitants,Trégrom,Trégrom (22),,,176,1.82,18439,3,56
TREGUEUX,22360,Entre 3 500 et 9 999 habitants,Trégueux,Trégueux (22),20.0,0.10,3634,1.78,20863,7,22
TREGUIER,22362,Entre 1 000 et  3 499 habitants,Tréguier,Tréguier (22),,,1180,1.49,18178,3,117
TRELEVERN,22363,Entre 1 000 et  3 499 habitants,Trélévern,Trélévern (22),,,630,1.71,22677,8,218
TRELIVAN,22364,Entre 1 000 et  3 499 habitants,Trélivan,Trélivan (22),,,1123,1.83,20434,6,26
TREMEL,22366,Moins de 500 habitants,Trémel,Trémel (22),,,187,1.83,19249,5,88
TREMELOIR,22367,Entre 500 et 999 habitants,,,,,292,2.14,20663,7,16
TREMEUR,22369,Entre 500 et 999 habitants,Trémeur,Trémeur (22),,,292,1.83,20043,6,37
TREMEVEN,22370,Moins de 500 habitants,Tréméven,Tréméven (22),,,159,1.74,17896,3,38
TREMOREL,22371,Entre 1 000 et  3 499 habitants,Trémorel,Trémorel (22),,,452,1.96,19153,5,48
TREMUSON,22372,Entre 1 000 et  3 499 habitants,Trémuson,Trémuson (22),,,797,1.88,20305,6,8
TRESSIGNAUX,22375,Entre 500 et 999 habitants,Tressignaux,Tressignaux (22),,,258,1.97,20273,6,48
TREVE,22376,Entre 1 000 et  3 499 habitants,Trévé,Trévé (22),,,662,1.92,19854,6,41
TREVENEUC,22377,Entre 500 et 999 habitants,Tréveneuc,Tréveneuc (22),,,384,1.65,21378,7,147
TREVOU-TREGUIGNEC,22379,Entre 1 000 et  3 499 habitants,Trévou-Tréguignec,Trévou-Tréguignec (22),,,642,1.60,22285,8,465
TREVRON,22380,Entre 500 et 999 habitants,Trévron,Trévron (22),,,294,1.89,18713,4,35
TREZENY,22381,Moins de 500 habitants,Trézény,Trézény (22),,,147,2.00,20163,6,14
ALBON,26002,Entre 1 000 et  3 499 habitants,Albon,Albon (26),,,713,1.91,20061,6,46
ALEYRAC,26003,Moins de 500 habitants,Aleyrac,Aleyrac (26),,,20,1.64,0,10,12
ALIXAN,26004,Entre 1 000 et  3 499 habitants,Alixan,Alixan (26),,,942,2.03,21398,7,29
ALLAN,26005,Entre 1 000 et  3 499 habitants,Allan,Allan (26),,,631,1.95,22036,8,34
ALLEX,26006,Entre 1 000 et  3 499 habitants,Allex,Allex (26),,,967,1.97,21437,7,44
AMBONIL,26007,Moins de 500 habitants,Ambonil,Ambonil (26),,,44,2.20,19486,5,1
ANCONE,26008,Entre 1 000 et  3 499 habitants,Ancône,Ancône (26),,,536,1.91,19525,5,3
ANDANCETTE,26009,Entre 1 000 et  3 499 habitants,Andancette,Andancette (26),,,559,1.85,18691,4,20
ANNEYRON,26010,Entre 3 500 et 9 999 habitants,Anneyron,Anneyron (26),,,1687,1.82,20160,6,63
AOUSTE-SUR-SYE,26011,Entre 1 000 et  3 499 habitants,Aouste-sur-Sye,Aouste-sur-Sye (26),,,1018,1.85,19291,5,56
ARNAYON,26012,Moins de 500 habitants,Arnayon,Arnayon (26),,,8,2.03,0,10,16
ARPAVON,26013,Moins de 500 habitants,Arpavon,Arpavon (26),,,42,1.90,0,10,30
ARTHEMONAY,26014,Entre 500 et 999 habitants,Arthémonay,Arthémonay (26),,,211,2.06,21530,8,9
AUBENASSON,26015,Moins de 500 habitants,Aubenasson,Aubenasson (26),,,28,2.11,0,10,11
AUBRES,26016,Moins de 500 habitants,Aubres,Aubres (26),,,171,1.87,19313,5,27
AUCELON,26017,Moins de 500 habitants,Aucelon,Aucelon (26),,,8,1.95,0,10,16
AULAN,26018,Moins de 500 habitants,Aulan,Aulan (26),,,13,1.00,0,10,6
REPARA-AURIPLES (LA ),26020,Moins de 500 habitants,La Répara-Auriples,La Répara-Auriples (26),,,107,1.76,18496,3,13
AUTICHAMP,26021,Moins de 500 habitants,Autichamp,Autichamp (26),,,56,1.87,17686,2,6
BALLONS,26022,Moins de 500 habitants,Ballons,Ballons (26),,,43,1.51,0,10,52
BARCELONNE,26024,Moins de 500 habitants,Barcelonne,Barcelonne (26),,,135,1.99,25332,9,11
BARNAVE,26025,Moins de 500 habitants,Barnave,Barnave (26),,,79,1.67,15693,1,43
BARRET-DE-LIOURE,26026,Moins de 500 habitants,Barret-de-Lioure,Barret-de-Lioure (26),,,48,1.31,0,10,45
BARSAC,26027,Moins de 500 habitants,Barsac,Barsac (26),,,64,1.98,16095,1,15
BATIE-DES-FONDS (LA ),26030,Moins de 500 habitants,La Bâtie-des-Fonds,La Bâtie-des-Fonds (26),,,0,#DIV/0!,0,10,2
BATIE-ROLLAND (LA ),26031,Entre 500 et 999 habitants,La Bâtie-Rolland,La Bâtie-Rolland (26),,,373,1.91,19641,5,24
BAUME-CORNILLANE (LA ),26032,Moins de 500 habitants,La Baume-Cornillane,La Baume-Cornillane (26),,,186,1.91,24784,9,24
BAUME-D'HOSTUN (LA ),26034,Entre 500 et 999 habitants,La Baume-d'Hostun,La Baume-d'Hostun (26),,,212,2.03,19900,6,26
BEAUFORT-SUR-GERVANNE,26035,Moins de 500 habitants,Beaufort-sur-Gervanne,Beaufort-sur-Gervanne (26),,,196,1.79,18321,3,65
BEAUMONT-EN-DIOIS,26036,Moins de 500 habitants,Beaumont-en-Diois,Beaumont-en-Diois (26),,,45,1.56,0,10,39
BEAUMONT-LES-VALENCE,26037,Entre 3 500 et 9 999 habitants,Beaumont-lès-Valence,Beaumont-lès-Valence (26),20.0,0.08,1570,1.86,22746,8,22
BEAUREGARD-BARET,26039,Entre 500 et 999 habitants,Beauregard-Baret,Beauregard-Baret (26),,,298,2.02,21549,8,23
BEAURIERES,26040,Moins de 500 habitants,Beaurières,Beaurières (26),,,53,1.59,0,10,71
