nom,cog,catpop,nom_propre,nom_propre_et_dep,taux_hlm_legal,taux_hlm_2015,nb_menages_2013,uc_par_menage,revenu_median_uc,decile_revenu,nb_res_secondaires
MARTAIZE,86149,Moins de 500 habitants,Martaizé,Martaizé (86),,,184,1.74,18365,3,45
MASSOGNES,86150,Moins de 500 habitants,Massognes,Massognes (86),,,116,1.96,19767,5,14
MAULAY,86151,Moins de 500 habitants,Maulay,Maulay (86),,,78,1.87,16926,1,33
MAUPREVOIR,86152,Entre 500 et 999 habitants,Mauprévoir,Mauprévoir (86),,,296,1.64,18899,4,29
MAZEROLLES,86153,Entre 500 et 999 habitants,Mazerolles,Mazerolles (86),,,377,1.82,19606,5,58
MAZEUIL,86154,Moins de 500 habitants,Mazeuil,Mazeuil (86),,,111,1.62,19528,5,16
MESSEME,86156,Moins de 500 habitants,Messemé,Messemé (86),,,96,1.84,19097,5,8
MIGNALOUX-BEAUVOIR,86157,Entre 3 500 et 9 999 habitants,Mignaloux-Beauvoir,Mignaloux-Beauvoir (86),20.0,0.10,1714,1.84,25476,9,19
MIGNE-AUXANCES,86158,Entre 3 500 et 9 999 habitants,Migné-Auxances,Migné-Auxances (86),20.0,0.12,2428,1.88,22127,8,26
MILLAC,86159,Entre 500 et 999 habitants,Millac,Millac (86),,,232,1.67,16875,1,57
MIREBEAU,86160,Entre 1 000 et  3 499 habitants,Mirebeau,Mirebeau (86),,,951,1.77,17621,2,51
MONCONTOUR,86161,Entre 500 et 999 habitants,Moncontour,Moncontour (86),,,443,1.74,17539,2,120
MONTAMISE,86163,Entre 1 000 et  3 499 habitants,Montamisé,Montamisé (86),,,1349,2.00,24129,9,26
MONTMORILLON,86165,Entre 3 500 et 9 999 habitants,Montmorillon,Montmorillon (86),,,2912,1.61,19159,5,160
MONTREUIL-BONNIN,86166,Entre 500 et 999 habitants,Montreuil-Bonnin,Montreuil-Bonnin (86),,,288,2.00,20307,6,21
MONTS-SUR-GUESNES,86167,Entre 500 et 999 habitants,Monts-sur-Guesnes,Monts-sur-Guesnes (86),,,281,1.78,16483,1,31
MOULISMES,86170,Moins de 500 habitants,Moulismes,Moulismes (86),,,172,1.83,19293,5,54
MOUSSAC-SUR-VIENNE,86171,Moins de 500 habitants,Moussac,Moussac (86),,,227,1.64,17811,2,85
MOUTERRE-SUR-BLOURDE,86172,Moins de 500 habitants,Mouterre-sur-Blourde,Mouterre-sur-Blourde (86),,,60,1.74,14430,1,17
NAINTRE,86174,Entre 3 500 et 9 999 habitants,Naintré,Naintré (86),,,2472,1.83,19973,6,51
NALLIERS,86175,Moins de 500 habitants,Nalliers,Nalliers (86),,,145,1.75,16710,1,42
NERIGNAC,86176,Moins de 500 habitants,Nérignac,Nérignac (86),,,60,1.59,17647,2,25
NIEUIL-ESPOIR(L),86178,Entre 1 000 et  3 499 habitants,Nieuil-l'Espoir,Nieuil-l'Espoir (86),,,914,2.01,21254,7,27
ORCHES,86182,Moins de 500 habitants,Orches,Orches (86),,,161,1.91,18687,4,36
ORMES(LES),86183,Entre 1 000 et  3 499 habitants,Les Ormes,Les Ormes (86),,,694,1.91,19243,5,52
OUZILLY,86184,Entre 500 et 999 habitants,Ouzilly,Ouzilly (86),,,352,1.99,19012,4,22
OYRE,86186,Entre 1 000 et  3 499 habitants,Oyré,Oyré (86),,,402,1.98,20587,7,26
PAYRE,86188,Entre 1 000 et  3 499 habitants,Payré,Payré (86),,,430,1.87,19160,5,77
PAYROUX,86189,Entre 500 et 999 habitants,Payroux,Payroux (86),,,174,1.64,17271,2,44
PERSAC,86190,Entre 500 et 999 habitants,Persac,Persac (86),,,395,1.70,17397,2,114
PLAISANCE,86192,Moins de 500 habitants,Plaisance,Plaisance (86),,,73,1.86,16379,1,17
PLEUMARTIN,86193,Entre 1 000 et  3 499 habitants,Pleumartin,Pleumartin (86),,,541,1.75,17353,2,51
POITIERS,86194,Entre 50 000 et 99 999 habitants,Poitiers,Poitiers (86),,,48001,1.49,18300,3,1019
POUANCAY,86196,Moins de 500 habitants,Pouançay,Pouançay (86),,,97,1.93,19168,5,9
POUANT,86197,Moins de 500 habitants,Pouant,Pouant (86),,,165,1.83,18542,3,31
POUILLE,86198,Entre 500 et 999 habitants,Pouillé,Pouillé (86),,,236,2.08,20856,7,7
PRINCAY,86201,Moins de 500 habitants,Prinçay,Prinçay (86),,,99,1.84,19486,5,30
